"t","Y","Yn.lin.trend","Yn.hp","Yn.prod.fn","Yn.areosa","Yn.bevnel"
2016-03-01,162.33881117674,170.258830295456,166.370497230708,167.686602146626,162.356834550999,162.36390386091
2016-06-01,161.977472112674,171.338933925393,165.988884621618,166.300701966255,161.975087469062,161.996676622197
2016-09-01,161.02048775683,172.425889616098,165.615699387671,164.894225758532,161.027701941302,161.023905813902
2016-12-01,160.148291706279,173.507813925099,165.257319881779,163.592005000929,160.197176059259,160.143561961698
2017-03-01,162.46353161945,174.58452608272,164.917171377421,163.196590015115,162.444188188012,162.500084034583
2017-06-01,162.939261420295,175.692071459518,164.595424861442,162.930089718937,162.939031015546,162.960165697074
2017-09-01,163.0051434428,176.806642984562,164.290716034795,162.667598352419,163.015655219851,163.038438906707
2017-12-01,163.424582784857,177.916055297664,164.000658910563,162.482615741163,163.432940488611,163.452055530973
2018-03-01,164.037591685499,179.02012303641,163.722084235686,162.424915879014,164.038697529428,164.078221030228
2018-06-01,164.305925769764,180.155807361199,163.451487241572,162.436782323901,164.318554079051,164.339354491365
2018-09-01,165.087609129525,181.298696344681,163.185583923436,162.637196869688,165.086938264983,165.136485150582
2018-12-01,165.387838725799,182.436295038253,162.921642992973,163.0393396939,165.401986390344,165.428115596467
